"","x_","y_","t_","burst_"
"1",4314068.24238362,3445807.10974316,2008-03-30 00:01:47,1
"2",4314052.68981354,3445768.33516495,2008-03-30 06:00:54,1
"3",4314104.9802678,3445858.58335646,2008-03-30 12:01:47,1
"4",4314043.92959216,3445785.45620181,2008-03-30 18:01:24,1
"5",4313014.67703644,3445857.96984539,2008-03-31 00:01:23,1
"6",4312859.62353622,3445857.1576151,2008-03-31 06:01:45,1
"7",4312853.60896687,3445856.24261008,2008-03-31 12:01:11,1
"8",4312857.6375328,3445858.18547992,2008-03-31 18:01:55,1
"9",4312744.65771248,3445861.77889413,2008-04-01 00:01:24,1
"10",4312650.92728779,3446024.07679161,2008-04-01 06:00:54,1
"11",4312649.01198168,3446030.10290438,2008-04-01 12:01:43,1
"12",4312618.98538391,3446099.51605153,2008-04-01 18:01:42,1
"13",4312663.01819184,3446383.85189599,2008-04-02 06:00:47,2
"14",4312665.11731933,3446390.82122639,2008-04-02 12:02:21,2
"15",4312665.31917772,3446475.80551649,2008-04-02 18:01:47,2
"16",4312009.57567035,3446648.03010161,2008-04-03 00:00:47,2
"17",4311611.61957831,3446446.67331622,2008-04-03 06:01:23,2
"18",4311616.8178912,3446460.5979155,2008-04-03 12:02:11,2
"19",4311593.22236026,3446418.93693286,2008-04-03 18:01:42,2
"20",4311569.92374324,3446398.26861157,2008-04-04 00:01:54,2
"21",4311618.9170107,3446467.56726606,2008-04-04 06:01:12,2
"22",4311625.8751144,3446464.46959753,2008-04-04 12:01:54,2
"23",4311600.29357289,3446423.83647203,2008-04-04 18:01:21,2
"24",4311633.39876841,3446501.35795637,2008-04-05 00:02:11,2
"25",4311602.76029666,3446456.79674415,2008-04-05 06:00:56,2
"26",4311609.91634219,3446467.69418676,2008-04-05 12:02:39,2
"27",4311650.0182839,3446474.12764655,2008-04-05 18:01:51,2
"28",4311592.75955383,3446456.93776618,2008-04-06 00:00:47,2
"29",4311584.37345418,3446359.07069503,2008-04-06 06:00:56,2
"30",4311579.11859105,3446341.14748727,2008-04-06 12:01:10,2
"31",4311650.66488918,3446449.12227669,2008-04-06 18:02:12,2
"32",4311605.91604504,3446467.75059583,2008-04-07 00:02:24,2
"33",4311613.59144946,3446444.64581014,2008-04-07 06:00:47,2
"34",4311602.49166217,3446437.80337914,2008-04-07 12:00:53,2
"35",4311620.67680125,3446450.54499876,2008-04-07 18:01:45,2
"36",4311513.11369614,3446342.07820537,2008-04-08 00:00:55,2
"37",4311521.91642708,3446327.9561752,2008-04-08 06:01:48,2
"38",4311619.80397528,3446459.55595784,2008-04-08 12:00:55,2
"39",4311586.25388732,3446492.02425831,2008-04-08 18:00:54,2
"40",4311535.87597047,3446607.71739935,2008-04-09 00:00:50,2
"41",4311626.0626983,3446548.45435534,2008-04-09 06:00:55,2
"42",4311644.93308009,3446468.20025477,2008-04-09 12:01:57,2
"43",4311611.03989414,3446405.68763293,2008-04-09 18:01:47,2
"44",4311617.55594139,3446300.61146865,2008-04-10 00:00:49,2
